single-,contestant,Days,InRCW,InICW,TRCW,TICW,Sex,Age,Idol,Season,Finish,Won
S1,Richard Hatch,39,0,1,2,3,0,38,0,1,1,1
S1,Kelly Wiglesworth,39,1,4,2,3,1,22,0,1,2,0
S1,Rudy Boesch,38,0,1,2,2,0,72,0,1,3,0
S1,Sue Hawk,37,0,0,2,3,1,38,0,1,4,0
S1,Sean Keniff,36,1,0,2,3,0,30,0,1,5,0
S1,Colleen Haskell,33,2,0,1,3,1,23,0,1,6,0
S1,Gervase Peterson,30,1,1,2,3,0,30,0,1,7,0
S1,Jenna Lewis,27,0,0,3,3,1,22,0,1,8,0
S1,Greg Buis,24,1,1,1,3,0,24,0,1,9,0
S1,Gretchen Cordy,21,0,0,3,3,1,38,0,1,10,0
S1,Joel Klug,18,0,0,2,3,0,27,0,1,11,0
S1,Dirk Been,15,0,0,2,2,0,23,0,1,12,0
S1,Ramona Gray,12,0,0,1,2,1,29,0,1,13,0
S1,Stacey Stillman,9,0,0,1,1,1,27,0,1,14,0
S1,B.B. Andersen,6,0,0,1,1,0,64,0,1,15,0
S1,Sonja Christopher,3,0,0,0,0,1,63,0,1,16,0
S10,Tom Westman,39,0,5,4,4,0,40,0,10,1,1
S10,Ian Rosenberger,38,1,2,3,4,0,23,0,10,3,0
S10,Katie Gallagher,39,0,0,2,3,1,29,0,10,2,0
S10,Gregg Carey,33,1,0,4,5,0,27,0,10,6,0
S10,Jenn Lyon,37,0,0,2,5,1,32,0,10,4,0
S10,Bobby Jon Drinkard,21,0,0,3,0,0,27,0,10,10,0
S10,Caryn Groedel,36,0,0,3,4,1,46,0,10,5,0
S10,Stephenie LaGrossa,30,0,0,3,1,1,24,0,10,7,0
S10,Coby Archa,24,0,0,2,6,0,32,0,10,9,0
S10,James Miller,15,0,0,3,0,0,33,0,10,12,0
S10,Angie Jakusz,12,0,0,2,0,1,24,0,10,13,0
S10,Jeff Wilson,8,0,0,2,0,0,21,0,10,16,0
S10,Janu Tornell*,27,0,0,2,5,1,39,0,10,8,0
S10,Ibrehem Rahman,18,0,0,3,0,0,27,0,10,11,0
S10,Kim Mullen,11,0,0,2,0,1,25,0,10,15,0
S10,Ashlee Ashby,6,0,0,1,0,1,22,0,10,17,0
S10,Jolanda Jones,3,0,0,0,0,1,38,0,10,18,0
S10,Willard Smith,12,0,0,1,3,0,56,0,10,14,0
S10,Wanda Shirk,2,0,0,0,0,1,55,0,10,19,0
S10,Jonathan Libby,2,0,0,0,0,0,23,0,10,20,0
S11,Danni Boatwright,39,0,2,6,3,1,29,0,11,1,1
S11,Stephenie LaGrossa,39,0,1,2,3,1,25,0,11,2,0
S11,Rafe Judkins,38,0,4,1,3,0,22,0,11,3,0
S11,Lydia Morales,37,0,0,0,2,1,42,0,11,4,0
S11,Cindy Hall,36,2,0,4,4,1,30,0,11,5,0
